City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
238,Ahipara,NZ,-35.1667,173.1667,60.37,68,38,9.64,scattered clouds
239,Kirando,TZ,-7.4167,30.6,75.88,66,3,8.88,clear sky
240,Dori,BF,14.0354,-0.0345,90.03,18,35,5.32,scattered clouds
241,Cap Malheureux,MU,-19.9842,57.6142,68.47,75,38,1.99,scattered clouds
242,Geraldton,AU,-28.7667,114.6,48.61,93,0,9.22,clear sky
243,Mount Gambier,AU,-37.8333,140.7667,48.56,81,100,5.08,overcast clouds
244,Bitung,ID,1.4451,125.1824,76.05,80,92,2.21,overcast clouds
245,Luderitz,NA,-26.6481,15.1594,60.4,80,0,10.56,clear sky
246,Traverse City,US,44.7631,-85.6206,43.0,88,100,22.46,overcast clouds
247,Gizo,SB,-8.103,156.8419,83.21,69,41,7.67,scattered clouds
248,Aklavik,CA,68.2191,-135.0107,28.4,86,100,6.91,light rain
249,Constitucion,CL,-35.3333,-72.4167,56.43,77,59,6.55,broken clouds
250,Saint George,US,37.1041,-113.5841,82.44,21,0,5.75,clear sky
251,Berlevag,NO,70.8578,29.0864,42.75,70,40,27.63,scattered clouds
252,Dikson,RU,73.5069,80.5464,31.5,98,100,27.89,snow
253,Grand Gaube,MU,-20.0064,57.6608,70.2,75,39,1.99,scattered clouds
254,Nome,US,64.5011,-165.4064,35.17,98,100,3.49,light snow
255,Kabanjahe,ID,3.1001,98.4908,61.39,95,100,3.47,overcast clouds
256,Jerantut,MY,3.936,102.3626,74.26,99,100,1.59,overcast clouds
257,Kribi,CM,2.95,9.9167,78.42,88,100,8.81,moderate rain
258,Ayagoz,KZ,47.9714,80.4392,41.81,86,100,4.05,overcast clouds
259,Coihaique,CL,-45.5752,-72.0662,75.15,25,0,6.91,clear sky
260,Vestmanna,FO,62.1564,-7.1664,41.92,81,100,27.63,overcast clouds
261,Luwuk,ID,-0.9516,122.7875,77.65,87,100,1.28,overcast clouds
262,Bubaque,GW,11.2833,-15.8333,81.12,78,94,11.39,overcast clouds
263,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,39.79,100,100,8.95,fog
264,Pevek,RU,69.7008,170.3133,2.07,97,70,5.26,broken clouds
265,Barranca,PE,-10.75,-77.7667,64.87,73,30,9.37,scattered clouds
266,Plettenberg Bay,ZA,-34.0527,23.3716,61.68,88,94,5.79,overcast clouds
267,Cockburn Town,TC,21.4612,-71.1419,81.52,73,0,7.05,clear sky
268,Wickede,DE,51.4833,7.8667,61.66,94,0,4.61,light rain
269,Medyn,RU,54.9692,35.8586,43.84,97,89,7.85,overcast clouds
270,Magadan,RU,59.5667,150.8,21.96,69,89,10.27,overcast clouds
271,Sabha,LY,27.0377,14.4283,70.79,40,0,8.68,clear sky
272,Mayumba,GA,-3.432,10.6554,77.58,89,74,8.05,broken clouds
273,Dharmanagar,IN,24.3667,92.1667,73.09,98,11,1.19,few clouds
274,Fenelon Falls,CA,44.5334,-78.7496,47.57,81,94,8.7,overcast clouds
275,Otradnoye,RU,59.7775,30.8181,50.09,83,100,10.13,overcast clouds
276,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,90,0,6.91,clear sky
277,Kahului,US,20.8947,-156.47,87.82,63,20,19.57,few clouds
278,Vostok,RU,46.4856,135.8833,29.07,90,100,7.25,overcast clouds
279,Pahrump,US,36.2083,-115.9839,85.24,21,0,3.0,clear sky
280,Wangaratta,AU,-36.3667,146.3333,52.47,88,100,2.82,overcast clouds
281,Narsaq,GL,60.9167,-46.05,34.02,73,100,4.88,overcast clouds
282,Broome,US,42.2506,-75.833,57.7,57,40,17.27,scattered clouds
283,Galle,LK,6.0367,80.217,77.18,89,97,7.07,overcast clouds
284,Berberati,CF,4.2612,15.7922,68.88,96,86,1.48,overcast clouds
285,Beringovskiy,RU,63.05,179.3167,22.26,60,2,3.67,clear sky
286,Lasa,IT,46.6166,10.7002,51.37,79,11,2.15,few clouds
287,Pangnirtung,CA,66.1451,-65.7125,30.2,93,100,21.85,light snow
288,Bandarbeyla,SO,9.4942,50.8122,77.31,81,9,5.23,clear sky
289,Rawson,AR,-43.3002,-65.1023,67.84,42,14,20.24,few clouds
290,Kaitangata,NZ,-46.2817,169.8464,44.08,89,97,7.76,overcast clouds
291,Bengkulu,ID,-3.8004,102.2655,74.98,90,100,3.78,moderate rain
292,Namibe,AO,-15.1961,12.1522,67.57,86,50,7.49,scattered clouds
293,Fairview,US,40.8126,-73.999,68.54,67,75,14.97,broken clouds
294,Mezen,RU,65.8522,44.24,44.06,90,100,12.5,overcast clouds
295,San Matias,BO,-16.3667,-58.4,96.06,30,24,4.47,few clouds
296,Kloulklubed,PW,7.0419,134.2556,83.89,75,96,8.43,overcast clouds
297,Dok Kham Tai,TH,19.1624,99.9934,65.26,92,31,2.04,scattered clouds
298,Hobyo,SO,5.3505,48.5268,78.39,81,64,14.7,broken clouds
299,Bayangol,RU,50.6977,103.4656,24.58,47,61,2.68,broken clouds
300,Barabai,ID,-2.5833,115.3833,74.37,98,100,0.47,overcast clouds
301,Nioro,GM,13.35,-15.75,79.38,83,14,4.85,few clouds
302,Bow Island,CA,49.8668,-111.3684,74.62,19,9,12.33,clear sky
303,Fare,PF,-16.7,-151.0167,77.5,79,25,17.85,light rain
304,Pavlodar,KZ,52.3,76.95,39.0,93,40,8.95,scattered clouds
305,Bloemhof,ZA,-27.6469,25.607,65.1,67,99,1.52,overcast clouds
306,Vila Franca Do Campo,PT,37.7167,-25.4333,57.61,80,88,16.42,light rain
307,Mandalgovi,MN,45.7625,106.2708,32.11,25,0,7.4,clear sky
308,Quesnel,CA,52.9999,-122.5029,68.5,32,0,12.66,clear sky
309,Antofagasta,CL,-23.65,-70.4,62.19,69,16,7.7,few clouds
310,Provideniya,RU,64.3833,-173.3,32.36,80,100,15.99,overcast clouds
311,Dzhebariki-Khaya,RU,62.2167,135.8,-0.71,100,99,2.1,overcast clouds
312,Kuybysheve,UA,47.358,36.6491,46.38,56,0,3.13,clear sky
313,Lodja,CD,-3.4833,23.4333,68.56,95,6,1.86,light rain
314,Leningradskiy,RU,69.3833,178.4167,14.88,90,100,6.82,overcast clouds
315,Lillooet,CA,50.6856,-121.942,74.23,21,97,1.01,overcast clouds
316,Horsham,GB,51.064,-0.3272,56.01,92,0,1.14,clear sky
317,Churapcha,RU,62.0025,132.4325,14.36,97,96,5.19,overcast clouds
318,Arlit,NE,18.7369,7.3853,86.95,19,0,16.53,clear sky
319,Ribeira Brava,PT,32.65,-17.0667,74.03,84,50,11.1,light rain
320,Togur,RU,58.3631,82.8265,34.68,87,100,4.83,overcast clouds
321,Batagay-Alyta,RU,67.8006,130.4114,2.55,86,54,5.37,broken clouds
322,Vila Nova De Milfontes,PT,37.7238,-8.7828,66.25,84,5,5.93,clear sky
323,Saint-Joseph,RE,-21.3667,55.6167,66.58,81,19,9.24,few clouds
324,Sorong,ID,-0.8833,131.25,79.41,85,100,6.8,overcast clouds
